nconst,had_prior_experience,movie_count,roles,firstYear,movies_directed_after_first
nm0740697,0,0.0,,2004.0,1
nm0021618,1,2.0,"['cinematographer', 'producer']",2004.0,0
nm0245407,0,0.0,,2003.0,0
nm0831339,0,0.0,,2003.0,1
nm0994349,0,0.0,,2005.0,0
nm0500177,1,1.0,['producer'],2006.0,1
nm0509448,0,0.0,,2003.0,5
nm0971632,0,0.0,,2011.0,0
nm0386650,1,2.0,"['producer', 'writer']",2011.0,0
nm0431881,0,0.0,,2003.0,0
nm0440105,0,0.0,,2003.0,1
nm0909853,0,0.0,,2003.0,0
nm0973631,0,0.0,,2003.0,0
nm0872045,0,0.0,,2003.0,2
nm0971569,0,0.0,,2005.0,0
nm0999503,0,0.0,,2003.0,2
nm1088854,0,0.0,,2003.0,0
nm0001736,1,7.0,['actor'],2003.0,2
nm0994541,0,0.0,,2003.0,0
nm0994493,0,0.0,,2006.0,0
nm0310782,1,1.0,['writer'],2003.0,0
nm1359288,0,0.0,,2003.0,1
nm0466642,0,0.0,,2003.0,0
nm0165410,1,2.0,"['editor', 'writer']",2003.0,0
nm1341300,0,0.0,,2004.0,0
nm0591051,1,3.0,['producer'],2003.0,0
nm0158984,0,0.0,,2003.0,3
nm0305563,0,0.0,,2004.0,13
nm0306126,0,0.0,,2007.0,1
nm0187594,0,0.0,,2003.0,2
nm0574007,0,0.0,,2003.0,1
nm0999508,0,0.0,,2004.0,0
nm1004389,0,0.0,,2003.0,0
nm0278332,0,0.0,,2008.0,0
nm0249998,0,0.0,,2005.0,2
nm1009026,0,0.0,,2003.0,0
nm1008121,0,0.0,,2004.0,0
nm1006513,1,1.0,['actor'],2006.0,1
nm1281579,0,0.0,,2006.0,2
nm0464140,1,2.0,['producer'],2004.0,0
nm0474233,0,0.0,,2003.0,8
nm2859057,0,0.0,,2004.0,5
nm0596636,1,2.0,['producer'],2003.0,0
nm1013667,0,0.0,,2005.0,0
nm1016670,0,0.0,,2003.0,0
nm0107774,1,2.0,"['actor', 'writer']",2004.0,1
nm0147172,0,0.0,,2003.0,0
nm1025791,0,0.0,,2003.0,0
nm1034607,0,0.0,,2003.0,1
nm0002485,1,1.0,['writer'],2003.0,0
nm1033204,0,0.0,,2003.0,1
nm0698230,1,6.0,['actor'],2004.0,0
nm0054964,0,0.0,,2003.0,1
nm0408502,0,0.0,,2003.0,0
nm0906943,0,0.0,,2003.0,0
nm1037523,0,0.0,,2004.0,0
nm1034615,0,0.0,,2003.0,0
nm0367041,0,0.0,,2004.0,0
nm0327240,0,0.0,,2009.0,0
nm1037475,0,0.0,,2003.0,0
nm0862560,1,1.0,['editor'],2003.0,0
nm0862562,0,0.0,,2003.0,0
nm1281314,0,0.0,,2003.0,0
nm1042369,0,0.0,,2003.0,1
nm1046764,0,0.0,,2003.0,0
nm1046595,0,0.0,,2003.0,3
nm0116145,1,9.0,['writer'],2007.0,0
nm1091117,0,0.0,,2003.0,2
nm1046082,0,0.0,,2005.0,0
nm1048522,0,0.0,,2003.0,0
nm0508883,0,0.0,,2003.0,0
nm1045559,0,0.0,,2003.0,0
nm0094620,1,26.0,['actor'],2003.0,0
nm1045125,0,0.0,,2003.0,0
nm0123120,1,3.0,['writer'],2003.0,0
nm1248104,0,0.0,,2004.0,0
nm1044271,1,1.0,['writer'],2009.0,0
nm0198460,1,7.0,"['producer', 'writer']",2003.0,2
nm0718254,1,1.0,['writer'],2004.0,1
nm0258324,0,0.0,,2003.0,0
nm1353170,0,0.0,,2003.0,1
nm0471566,0,0.0,,2004.0,0
nm1576746,0,0.0,,2004.0,1
nm0037074,0,0.0,,2004.0,1
nm1065068,0,0.0,,2003.0,0
nm0969927,0,0.0,,2003.0,0
nm1114376,0,0.0,,2003.0,0
nm0046337,1,1.0,['actress'],2004.0,0
nm0503879,0,0.0,,2003.0,0
nm0970447,0,0.0,,2004.0,5
nm0630770,0,0.0,,2006.0,0
nm0800884,0,0.0,,2005.0,1
nm0191036,1,1.0,['writer'],2004.0,0
nm1262299,0,0.0,,2003.0,1
nm0002365,1,1.0,['actor'],2003.0,0
nm0299864,0,0.0,,2003.0,0
nm0957169,1,2.0,"['producer', 'actor']",2006.0,13
nm0278181,1,1.0,['writer'],2004.0,1
nm0998551,0,0.0,,2004.0,0
nm1069270,1,1.0,['producer'],2005.0,1
nm1079031,0,0.0,,2003.0,0
nm0747942,0,0.0,,2003.0,0
nm0299563,0,0.0,,2003.0,2
nm0526603,0,0.0,,2004.0,0
nm1045005,0,0.0,,2003.0,0
nm0339897,0,0.0,,2006.0,0
nm1037008,0,0.0,,2003.0,1
nm0187944,1,2.0,"['producer', 'writer']",2005.0,4
nm1083082,1,1.0,['actor'],2005.0,0
nm1081603,0,0.0,,2003.0,0
nm1081146,0,0.0,,2004.0,0
nm1074968,0,0.0,,2004.0,0
nm1077724,0,0.0,,2006.0,1
nm2197168,1,1.0,['producer'],2006.0,1
nm0764982,1,6.0,['writer'],2004.0,0
nm1085055,0,0.0,,2003.0,2
nm0804122,0,0.0,,2003.0,4
nm0891556,1,1.0,['writer'],2003.0,1
nm0941085,0,0.0,,2003.0,6
nm0007235,1,3.0,['actress'],2004.0,2
nm0657062,0,0.0,,2003.0,0
nm0352507,0,0.0,,2003.0,0
nm1087804,0,0.0,,2003.0,0
nm0589056,0,0.0,,2006.0,0
nm1093028,1,1.0,['writer'],2006.0,0
nm0512570,1,2.0,['cinematographer'],2003.0,1
nm0544279,0,0.0,,2003.0,5
nm0004412,1,10.0,"['producer', 'writer']",2003.0,0
nm0339911,1,1.0,['actor'],2005.0,0
nm1099660,0,0.0,,2004.0,1
nm1531492,0,0.0,,2003.0,3
nm0181210,1,2.0,['writer'],2003.0,0
nm0002006,1,3.0,['actor'],2003.0,0
nm0058396,0,0.0,,2004.0,1
nm0667041,0,0.0,,2003.0,3
nm1897567,0,0.0,,2005.0,3
nm1096196,0,0.0,,2003.0,1
nm0073469,1,3.0,['producer'],2003.0,2
nm1110794,0,0.0,,2003.0,2
nm0579956,0,0.0,,2004.0,0
nm0743873,0,0.0,,2004.0,1
nm1110919,0,0.0,,2004.0,0
nm0904250,1,1.0,['writer'],2004.0,1
nm0934725,1,4.0,['cinematographer'],2004.0,0
nm1112250,0,0.0,,2003.0,1
nm1572911,0,0.0,,2004.0,1
nm0278669,1,1.0,['writer'],2004.0,0
nm1110394,0,0.0,,2005.0,0
nm1108266,0,0.0,,2003.0,4
nm1110111,0,0.0,,2003.0,1
nm0464548,0,0.0,,2003.0,0
nm0800555,1,3.0,['writer'],2003.0,0
nm0893107,1,4.0,"['actor', 'writer']",2003.0,0
nm0592663,1,1.0,['cinematographer'],2003.0,1
nm1113735,0,0.0,,2003.0,1
nm1117324,0,0.0,,2004.0,0
nm1112838,0,0.0,,2003.0,0
nm0395228,0,0.0,,2003.0,2
nm0898362,0,0.0,,2004.0,0
nm0829925,0,0.0,,2003.0,3
nm1224299,0,0.0,,2004.0,4
nm0000389,1,18.0,['actor'],2005.0,1
nm1127204,0,0.0,,2004.0,0
nm1009027,0,0.0,,2003.0,2
nm0361409,0,0.0,,2003.0,1
nm1125131,0,0.0,,2003.0,2
nm1125458,0,0.0,,2003.0,0
nm0092959,0,0.0,,2006.0,0
nm0040404,0,0.0,,2006.0,1
nm0058669,1,1.0,['production_designer'],2003.0,0
nm0032680,0,0.0,,2003.0,1
nm1124869,0,0.0,,2004.0,0
nm1440144,1,1.0,['writer'],2003.0,3
nm0000996,1,4.0,['actor'],2003.0,1
nm1137338,0,0.0,,2004.0,1
nm0774509,1,5.0,['actress'],2003.0,0
nm1137757,1,1.0,['producer'],2003.0,0
nm0718701,1,1.0,['actor'],2003.0,3
nm1134800,0,0.0,,2005.0,0
nm1135265,0,0.0,,2003.0,2
nm1139749,0,0.0,,2005.0,0
nm0604688,1,5.0,['writer'],2003.0,1
nm0327790,1,2.0,['editor'],2006.0,0
nm0592436,1,8.0,['writer'],2003.0,1
nm0003419,0,0.0,,2004.0,2
nm1143931,0,0.0,,2004.0,0
nm1142974,0,0.0,,2004.0,0
nm0373282,1,4.0,"['actor', 'writer']",2003.0,4
nm1140510,0,0.0,,2009.0,1
nm0224104,1,4.0,['production_designer'],2003.0,0
nm0730157,0,0.0,,2006.0,0
nm0101508,0,0.0,,2005.0,0
nm0397224,0,0.0,,2004.0,0
nm1004541,0,0.0,,2010.0,0
nm0820800,0,0.0,,2006.0,3
nm0553151,0,0.0,,2003.0,0
nm0919514,1,1.0,['production_designer'],2003.0,0
nm1211089,0,0.0,,2003.0,7
nm2962340,0,0.0,,2003.0,0
